id,loan_amnt,term,int_rate,installment,grade,sub_grade,annual_inc,emp_length,home_ownership,verification_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,purpose,default
89787768,12000.0,60.0,22.39,334.1,E,E1,65000.0,10.0,OWN,Not Verified,21.09,2.0,1.0,9.0,1.0,4041.0,28.7,16.0,home_improvement,0
108084641,20000.0,36.0,16.02,703.34,C,C5,67000.0,9.0,RENT,Verified,29.18,3.0,0.0,10.0,0.0,5774.0,37.3,30.0,debt_consolidation,0
84110596,6500.0,36.0,5.32,195.75,A,A1,60000.0,1.0,RENT,Source Verified,9.0,0.0,0.0,6.0,0.0,17395.0,48.1,13.0,credit_card,0
28782658,16750.0,36.0,16.29,591.29,D,D2,40000.0,0.0,RENT,Source Verified,13.8,0.0,2.0,8.0,0.0,9066.0,64.8,12.0,credit_card,0
10182394,20000.0,36.0,7.9,625.81,A,A4,114000.0,4.0,MORTGAGE,Verified,16.44,0.0,1.0,12.0,0.0,25752.0,46.5,20.0,debt_consolidation,0
34633369,10200.0,36.0,16.49,361.08,D,D3,85000.0,10.0,MORTGAGE,Verified,28.01,0.0,2.0,16.0,0.0,15825.0,44.8,46.0,debt_consolidation,0
20097711,20000.0,36.0,16.99,712.96,D,D3,66800.0,10.0,RENT,Verified,26.59,1.0,3.0,13.0,0.0,21589.0,84.0,21.0,debt_consolidation,0
74504253,20000.0,36.0,9.75,643.0,B,B3,55000.0,3.0,MORTGAGE,Verified,13.42,0.0,0.0,21.0,1.0,23330.0,53.0,34.0,debt_consolidation,0
41079618,12075.0,36.0,16.55,427.81,D,D2,45000.0,7.0,MORTGAGE,Verified,23.49,0.0,0.0,12.0,1.0,6558.0,57.5,32.0,debt_consolidation,0
7619488,10000.0,36.0,15.61,349.65,C,C3,60000.0,7.0,RENT,Not Verified,13.36,0.0,0.0,6.0,0.0,14112.0,89.3,16.0,credit_card,0
31326912,18275.0,36.0,19.52,674.71,E,E2,70000.0,10.0,MORTGAGE,Verified,24.79,1.0,0.0,12.0,1.0,6123.0,57.2,33.0,debt_consolidation,0
2184945,16500.0,60.0,19.05,428.48,D,D4,110000.0,5.0,MORTGAGE,Source Verified,10.05,0.0,1.0,7.0,0.0,15597.0,73.2,18.0,debt_consolidation,1
68824139,4000.0,36.0,11.48,131.87,B,B5,45000.0,0.0,RENT,Source Verified,18.63,0.0,0.0,5.0,0.0,6705.0,63.3,9.0,debt_consolidation,0
96752016,12000.0,36.0,7.49,373.22,A,A4,80000.0,4.0,RENT,Source Verified,25.4,0.0,1.0,12.0,0.0,10552.0,38.4,17.0,debt_consolidation,1
138927842,20000.0,60.0,17.97,507.55,D,D1,63000.0,10.0,MORTGAGE,Verified,19.24,0.0,0.0,11.0,1.0,14455.0,61.5,21.0,debt_consolidation,0
85601802,9800.0,36.0,8.59,309.78,A,A5,175000.0,2.0,RENT,Source Verified,8.38,0.0,0.0,10.0,0.0,1750.0,6.1,11.0,major_purchase,0
38413858,20000.0,60.0,9.49,419.94,B,B2,50000.0,0.0,OWN,Source Verified,14.02,0.0,0.0,14.0,0.0,20066.0,43.3,21.0,credit_card,0
79190955,16000.0,36.0,10.75,521.93,B,B4,50000.0,10.0,MORTGAGE,Source Verified,18.39,0.0,2.0,9.0,1.0,14306.0,46.9,19.0,debt_consolidation,0
50364212,30225.0,60.0,23.99,869.34,F,F3,72000.0,10.0,MORTGAGE,Verified,24.7,0.0,1.0,18.0,0.0,33904.0,75.5,46.0,credit_card,0
20059246,7375.0,36.0,13.98,251.99,C,C3,60000.0,4.0,RENT,Source Verified,13.02,0.0,5.0,7.0,4.0,3213.0,46.6,16.0,debt_consolidation,0
32458894,1000.0,36.0,14.49,34.42,C,C4,55000.0,6.0,OWN,Not Verified,35.96,0.0,0.0,10.0,0.0,12539.0,55.2,20.0,other,0
97943909,24000.0,60.0,13.49,552.12,C,C2,55000.0,4.0,OWN,Not Verified,32.53,0.0,0.0,21.0,0.0,23843.0,53.1,26.0,credit_card,0
19576442,5000.0,36.0,14.49,172.09,C,C4,17000.0,10.0,RENT,Source Verified,26.48,0.0,0.0,10.0,0.0,2915.0,88.3,34.0,vacation,1
85541865,12000.0,60.0,17.99,304.66,D,D2,55000.0,2.0,MORTGAGE,Source Verified,15.62,0.0,0.0,6.0,0.0,7535.0,76.9,11.0,debt_consolidation,1
38567544,14600.0,36.0,17.14,521.55,D,D4,50000.0,7.0,MORTGAGE,Not Verified,38.25,1.0,0.0,10.0,0.0,18870.0,72.3,30.0,debt_consolidation,1
1257543,6000.0,36.0,13.67,204.11,B,B5,44000.0,4.0,RENT,Source Verified,16.17,1.0,0.0,21.0,0.0,11052.0,68.2,28.0,debt_consolidation,0
29143881,15000.0,60.0,15.61,361.67,D,D1,35000.0,10.0,MORTGAGE,Source Verified,11.01,0.0,0.0,6.0,1.0,9131.0,79.4,8.0,debt_consolidation,1
9228911,4950.0,36.0,18.55,180.33,D,D2,45000.0,1.0,RENT,Not Verified,26.53,0.0,0.0,8.0,0.0,4613.0,55.3,24.0,major_purchase,0
111978285,15000.0,36.0,21.45,568.6,D,D5,65000.0,10.0,RENT,Source Verified,23.97,0.0,0.0,7.0,1.0,11770.0,83.5,17.0,major_purchase,1
1121981,11000.0,36.0,12.42,367.57,B,B4,57600.0,10.0,OWN,Not Verified,24.17,0.0,0.0,7.0,0.0,6279.0,89.7,26.0,debt_consolidation,0
93555812,15000.0,60.0,19.99,397.33,D,D4,85268.0,7.0,MORTGAGE,Not Verified,19.97,0.0,0.0,10.0,0.0,20771.0,47.0,31.0,home_improvement,0
110753771,10000.0,36.0,15.05,346.9,C,C4,60000.0,3.0,RENT,Source Verified,20.53,1.0,0.0,8.0,0.0,9502.0,44.2,12.0,debt_consolidation,0
83828229,8000.0,36.0,8.99,254.37,B,B1,217914.0,10.0,OWN,Verified,22.64,0.0,0.0,17.0,0.0,52859.0,87.2,35.0,other,0
8138254,18000.0,36.0,12.99,606.41,B,B4,55000.0,2.0,MORTGAGE,Verified,17.45,1.0,0.0,7.0,0.0,103364.0,43.2,16.0,credit_card,0
125813253,5000.0,36.0,16.02,175.84,C,C5,63000.0,10.0,OWN,Source Verified,18.65,1.0,2.0,12.0,0.0,7439.0,40.4,16.0,house,0
43276509,5000.0,36.0,9.99,161.32,B,B3,40000.0,10.0,RENT,Source Verified,28.35,0.0,0.0,14.0,1.0,6458.0,47.5,22.0,debt_consolidation,0
88382305,15000.0,60.0,18.99,389.03,D,D3,60000.0,9.0,MORTGAGE,Not Verified,18.3,0.0,0.0,12.0,0.0,11795.0,33.9,21.0,debt_consolidation,0
113049974,30000.0,36.0,21.45,1137.2,D,D5,220000.0,10.0,MORTGAGE,Verified,13.64,0.0,0.0,11.0,1.0,14122.0,88.3,17.0,credit_card,0
67479236,20000.0,36.0,12.59,669.94,C,C2,75000.0,6.0,MORTGAGE,Source Verified,20.14,0.0,0.0,8.0,0.0,34775.0,75.6,22.0,debt_consolidation,0
104133037,30000.0,60.0,15.99,729.39,C,C5,37000.0,2.0,MORTGAGE,Verified,58.02,0.0,1.0,5.0,0.0,3017.0,88.7,17.0,debt_consolidation,1
1080514,3600.0,60.0,14.27,84.28,C,C2,130992.0,3.0,MORTGAGE,Source Verified,11.21,0.0,6.0,8.0,0.0,14872.0,81.7,30.0,other,0
38648271,8350.0,36.0,8.67,264.25,B,B1,45000.0,1.0,RENT,Not Verified,6.62,0.0,1.0,8.0,0.0,6444.0,22.7,11.0,debt_consolidation,0
13307636,18000.0,60.0,21.18,488.79,E,E3,50000.0,3.0,RENT,Source Verified,23.02,0.0,1.0,13.0,0.0,4159.0,48.9,14.0,debt_consolidation,1
95355158,33000.0,36.0,7.99,1033.95,A,A5,85000.0,0.0,OWN,Source Verified,10.18,0.0,0.0,18.0,0.0,22277.0,42.4,43.0,debt_consolidation,0
71063552,11050.0,36.0,6.49,338.63,A,A2,45000.0,8.0,MORTGAGE,Source Verified,14.21,1.0,0.0,8.0,0.0,9024.0,53.7,17.0,debt_consolidation,0
109869242,9525.0,36.0,25.82,382.86,E,E4,38000.0,10.0,MORTGAGE,Source Verified,26.63,0.0,0.0,8.0,0.0,14693.0,90.1,15.0,credit_card,0
63395615,10000.0,60.0,7.89,202.24,A,A5,52000.0,4.0,RENT,Not Verified,15.56,0.0,0.0,8.0,0.0,420.0,2.3,18.0,home_improvement,0
64151352,3500.0,36.0,8.18,109.97,B,B1,70000.0,10.0,MORTGAGE,Source Verified,12.86,0.0,1.0,7.0,0.0,17037.0,58.5,15.0,credit_card,0
102041766,15000.0,60.0,11.49,329.82,B,B5,75000.0,10.0,OWN,Source Verified,16.93,0.0,1.0,9.0,0.0,10681.0,47.9,35.0,debt_consolidation,0
88221474,25000.0,60.0,26.49,755.79,F,F2,113456.0,10.0,MORTGAGE,Verified,16.46,0.0,5.0,14.0,1.0,16833.0,54.0,38.0,debt_consolidation,0
1257150,15000.0,36.0,15.81,525.95,C,C4,114000.0,9.0,RENT,Source Verified,21.62,0.0,1.0,13.0,0.0,21404.0,57.3,36.0,debt_consolidation,0
54474404,6000.0,36.0,16.55,212.58,D,D2,60000.0,4.0,RENT,Source Verified,24.54,0.0,4.0,10.0,1.0,5203.0,46.9,24.0,debt_consolidation,1
96310870,15200.0,60.0,28.69,479.62,F,F1,76000.0,2.0,RENT,Not Verified,16.83,0.0,0.0,10.0,0.0,67414.0,25.3,18.0,debt_consolidation,0
39620659,14675.0,60.0,25.89,438.43,G,G3,40800.0,2.0,RENT,Source Verified,27.74,0.0,0.0,5.0,1.0,8114.0,50.7,9.0,debt_consolidation,0
21451039,10200.0,60.0,20.99,275.89,E,E4,30000.0,0.0,RENT,Verified,26.8,0.0,5.0,23.0,0.0,9403.0,53.4,42.0,other,1
107660105,18200.0,60.0,21.45,496.99,D,D5,55000.0,9.0,MORTGAGE,Source Verified,24.59,0.0,2.0,16.0,1.0,6285.0,18.4,28.0,debt_consolidation,0
96883662,20000.0,36.0,7.24,619.74,A,A3,100000.0,8.0,MORTGAGE,Not Verified,22.76,0.0,0.0,10.0,0.0,16283.0,45.9,30.0,debt_consolidation,0
76233508,1275.0,36.0,19.53,47.08,D,D5,10000.0,0.0,OWN,Verified,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,car,0
55308393,12600.0,36.0,16.99,449.17,D,D3,35000.0,10.0,MORTGAGE,Not Verified,25.14,3.0,0.0,4.0,0.0,5125.0,94.9,24.0,credit_card,0
37701724,2500.0,36.0,12.99,84.23,C,C2,66000.0,4.0,RENT,Not Verified,21.74,0.0,1.0,12.0,0.0,5506.0,76.5,27.0,medical,0
10444942,19750.0,36.0,13.53,670.51,B,B5,47500.0,3.0,RENT,Not Verified,26.93,2.0,0.0,17.0,0.0,9867.0,57.4,42.0,debt_consolidation,0
1497608,12250.0,36.0,21.0,461.52,E,E2,64000.0,7.0,MORTGAGE,Source Verified,18.73,1.0,1.0,13.0,0.0,22803.0,81.4,27.0,debt_consolidation,0
48050555,13600.0,36.0,6.92,419.44,A,A4,200000.0,10.0,MORTGAGE,Not Verified,14.76,5.0,1.0,12.0,0.0,65785.0,38.6,32.0,credit_card,0
58180967,3600.0,36.0,10.99,117.85,B,B4,36000.0,10.0,RENT,Verified,31.1,0.0,0.0,26.0,0.0,6038.0,20.3,43.0,medical,0
34984078,11175.0,36.0,20.99,420.97,E,E4,35000.0,10.0,MORTGAGE,Verified,24.92,0.0,1.0,8.0,0.0,6875.0,80.9,8.0,small_business,0
60813218,7650.0,36.0,16.55,271.04,D,D2,37500.0,10.0,RENT,Source Verified,4.03,0.0,1.0,3.0,0.0,4462.0,54.4,8.0,other,0
6154598,16000.0,60.0,14.33,375.04,C,C2,60000.0,10.0,OWN,Verified,2.64,1.0,1.0,5.0,0.0,3716.0,26.0,19.0,home_improvement,1
11014770,23000.0,60.0,19.22,599.43,D,D4,85000.0,8.0,RENT,Verified,30.07,0.0,0.0,8.0,0.0,18884.0,97.3,18.0,credit_card,0
104310703,11975.0,36.0,19.99,444.98,D,D4,50000.0,3.0,MORTGAGE,Verified,15.1,0.0,0.0,13.0,1.0,9848.0,44.8,14.0,debt_consolidation,0
77409043,6000.0,36.0,5.32,180.69,A,A1,100000.0,10.0,MORTGAGE,Source Verified,1.92,0.0,0.0,8.0,0.0,8817.0,31.4,16.0,credit_card,0
23383406,3200.0,36.0,20.99,120.55,E,E4,20400.0,0.0,RENT,Not Verified,24.76,1.0,2.0,8.0,1.0,1369.0,62.2,26.0,debt_consolidation,0
55898572,9000.0,36.0,8.18,282.78,B,B1,75000.0,5.0,RENT,Source Verified,9.88,0.0,1.0,12.0,2.0,5908.0,24.0,35.0,credit_card,1
38495792,13025.0,60.0,12.99,296.3,C,C2,73000.0,7.0,RENT,Source Verified,18.95,0.0,0.0,14.0,0.0,3504.0,19.1,19.0,debt_consolidation,1
44795953,15000.0,36.0,6.39,458.99,A,A2,131000.0,8.0,RENT,Source Verified,16.11,0.0,0.0,25.0,0.0,4266.0,41.8,47.0,debt_consolidation,0
124966258,25000.0,60.0,18.06,635.66,D,D2,50000.0,6.0,MORTGAGE,Source Verified,17.14,2.0,1.0,11.0,0.0,17321.0,55.2,29.0,debt_consolidation,0
391306,7100.0,36.0,8.0,222.49,A,A3,65004.0,6.0,MORTGAGE,Not Verified,13.25,0.0,3.0,10.0,0.0,4409.0,12.4,22.0,debt_consolidation,0
57277396,18000.0,36.0,9.99,580.73,B,B3,60000.0,2.0,RENT,Not Verified,10.66,0.0,0.0,6.0,0.0,20336.0,59.3,33.0,debt_consolidation,0
51877925,6025.0,36.0,12.29,200.96,C,C1,80000.0,2.0,MORTGAGE,Source Verified,25.16,1.0,0.0,9.0,0.0,4768.0,97.3,15.0,home_improvement,0
35988813,21000.0,36.0,11.44,691.9,B,B4,137000.0,9.0,MORTGAGE,Verified,22.34,0.0,4.0,33.0,0.0,59257.0,74.3,50.0,debt_consolidation,0
66122003,28000.0,36.0,12.59,937.92,C,C2,85000.0,9.0,OWN,Source Verified,32.77,0.0,1.0,19.0,0.0,97251.0,90.3,25.0,credit_card,0
63220919,20000.0,60.0,13.33,458.45,C,C3,65000.0,4.0,MORTGAGE,Not Verified,17.21,0.0,0.0,7.0,0.0,5712.0,45.7,16.0,debt_consolidation,0
58943662,16000.0,36.0,7.89,500.58,A,A5,89000.0,1.0,MORTGAGE,Source Verified,17.75,0.0,1.0,11.0,1.0,13557.0,66.1,20.0,debt_consolidation,0
7709800,5150.0,36.0,6.03,156.75,A,A1,49000.0,1.0,OWN,Source Verified,23.29,0.0,0.0,17.0,0.0,445.0,0.8,49.0,debt_consolidation,0
130926207,8000.0,36.0,18.45,291.03,D,D2,68000.0,9.0,RENT,Not Verified,21.02,0.0,1.0,11.0,0.0,10602.0,82.2,12.0,moving,1
16071986,4000.0,36.0,9.17,127.52,B,B1,51928.0,6.0,MORTGAGE,Not Verified,10.52,0.0,2.0,7.0,0.0,3431.0,41.8,21.0,debt_consolidation,0
28933553,15000.0,36.0,10.99,491.01,B,B3,105000.0,10.0,MORTGAGE,Verified,38.15,0.0,0.0,22.0,0.0,85619.0,67.4,36.0,debt_consolidation,0
87062283,12000.0,36.0,11.49,395.66,B,B5,58500.0,4.0,OWN,Verified,32.84,0.0,1.0,6.0,0.0,4660.0,48.0,9.0,major_purchase,0
17202739,3500.0,36.0,6.49,107.26,A,A2,63000.0,6.0,MORTGAGE,Not Verified,17.39,0.0,1.0,11.0,0.0,6657.0,17.5,30.0,debt_consolidation,0
36129476,15600.0,60.0,10.49,335.23,B,B3,92000.0,10.0,MORTGAGE,Not Verified,18.32,0.0,1.0,23.0,0.0,16302.0,20.1,36.0,debt_consolidation,0
75203924,26450.0,36.0,9.75,850.37,B,B3,52928.0,0.0,RENT,Verified,4.6,1.0,0.0,19.0,0.0,3011.0,5.5,41.0,other,0
19806608,10000.0,36.0,10.99,327.34,B,B3,65000.0,2.0,MORTGAGE,Not Verified,19.09,0.0,0.0,11.0,0.0,17667.0,79.2,27.0,debt_consolidation,0
10984883,8000.0,36.0,8.9,254.03,A,A5,65000.0,0.0,RENT,Not Verified,4.23,0.0,0.0,7.0,0.0,5339.0,21.4,21.0,car,0
42355652,15000.0,36.0,12.29,500.3,C,C1,60000.0,3.0,MORTGAGE,Not Verified,15.12,0.0,3.0,15.0,0.0,20685.0,47.6,36.0,debt_consolidation,0
6939277,7200.0,36.0,14.33,247.24,C,C2,45000.0,10.0,RENT,Source Verified,29.39,0.0,1.0,8.0,1.0,4379.0,56.9,29.0,credit_card,0
85310324,9600.0,36.0,8.99,305.24,B,B1,25000.0,3.0,MORTGAGE,Not Verified,33.46,1.0,2.0,9.0,0.0,4563.0,17.3,20.0,credit_card,0
31327445,20000.0,36.0,7.69,623.88,A,A4,92000.0,10.0,MORTGAGE,Source Verified,16.23,0.0,0.0,18.0,0.0,17544.0,34.6,52.0,debt_consolidation,1
20761506,16500.0,36.0,12.49,551.91,B,B5,40560.0,10.0,MORTGAGE,Verified,17.3,1.0,0.0,17.0,1.0,7249.0,18.3,24.0,debt_consolidation,0
67576071,3000.0,36.0,11.22,98.53,B,B5,85000.0,0.0,MORTGAGE,Source Verified,7.58,0.0,0.0,7.0,1.0,3274.0,28.7,13.0,home_improvement,0
34743675,20000.0,36.0,7.49,622.04,A,A4,200000.0,5.0,MORTGAGE,Verified,6.87,0.0,1.0,11.0,0.0,28460.0,76.1,12.0,credit_card,0
71002729,20000.0,36.0,10.75,652.41,B,B4,158000.0,0.0,RENT,Source Verified,21.34,1.0,1.0,10.0,0.0,4617.0,66.9,42.0,debt_consolidation,0
57156953,6625.0,36.0,7.26,205.35,A,A4,47000.0,10.0,MORTGAGE,Verified,19.58,2.0,0.0,10.0,0.0,6240.0,80.0,31.0,debt_consolidation,0
83766506,12000.0,60.0,9.49,251.97,B,B2,57000.0,10.0,MORTGAGE,Source Verified,15.49,0.0,0.0,9.0,0.0,11327.0,30.9,26.0,debt_consolidation,0
2299395,24000.0,36.0,11.14,787.33,B,B2,100000.0,10.0,MORTGAGE,Verified,14.89,1.0,0.0,10.0,0.0,16609.0,81.4,30.0,debt_consolidation,0
138390531,20000.0,60.0,25.34,591.02,E,E3,21752.0,5.0,MORTGAGE,Not Verified,19.65,0.0,1.0,8.0,1.0,10382.0,50.6,15.0,debt_consolidation,0
84699594,30000.0,60.0,22.39,835.24,E,E1,80000.0,0.0,RENT,Verified,10.97,0.0,1.0,14.0,1.0,6195.0,27.3,31.0,small_business,1
86702663,3200.0,36.0,13.49,108.58,C,C2,63000.0,2.0,MORTGAGE,Verified,0.48,0.0,1.0,3.0,0.0,150.0,1.9,5.0,credit_card,0
81375094,33000.0,36.0,11.99,1095.92,C,C1,111023.0,5.0,RENT,Verified,20.41,0.0,1.0,7.0,0.0,32337.0,73.0,19.0,debt_consolidation,0
132102342,10500.0,36.0,11.98,348.65,B,B5,85000.0,5.0,RENT,Source Verified,11.05,0.0,1.0,6.0,0.0,1871.0,48.0,9.0,debt_consolidation,0
130699781,32475.0,60.0,10.9,704.47,B,B4,120000.0,10.0,MORTGAGE,Verified,24.58,0.0,1.0,29.0,0.0,60879.0,31.7,61.0,credit_card,0
72033627,6000.0,36.0,7.89,187.72,A,A5,35000.0,8.0,RENT,Not Verified,25.51,0.0,0.0,7.0,0.0,8427.0,55.4,10.0,credit_card,0
62266325,14175.0,36.0,8.18,445.38,B,B1,36000.0,7.0,RENT,Not Verified,34.07,0.0,0.0,11.0,0.0,6308.0,9.0,17.0,credit_card,0
6696005,32350.0,36.0,10.64,1053.6,B,B2,76000.0,10.0,MORTGAGE,Verified,27.09,0.0,1.0,7.0,0.0,5443.0,38.6,24.0,debt_consolidation,0
40452003,7000.0,36.0,14.31,240.3,C,C4,50000.0,2.0,RENT,Source Verified,26.28,0.0,1.0,11.0,2.0,8647.0,18.2,43.0,debt_consolidation,1
1043030,25000.0,36.0,6.62,767.6,A,A2,249999.96,2.0,MORTGAGE,Source Verified,4.65,0.0,0.0,6.0,0.0,4548.0,26.0,23.0,car,0
30095127,10000.0,36.0,12.49,334.49,B,B5,41000.0,5.0,MORTGAGE,Source Verified,10.29,0.0,1.0,14.0,0.0,12757.0,31.3,20.0,home_improvement,0
115697417,8000.0,36.0,17.09,285.59,D,D1,40000.0,6.0,MORTGAGE,Verified,9.75,1.0,0.0,8.0,0.0,223.0,5.7,22.0,debt_consolidation,0
56894673,18200.0,36.0,12.69,610.52,C,C2,52000.0,2.0,MORTGAGE,Not Verified,15.16,0.0,1.0,5.0,0.0,2855.0,23.8,10.0,debt_consolidation,0
110322435,8000.0,36.0,7.35,248.3,A,A4,50000.0,10.0,MORTGAGE,Not Verified,24.34,0.0,0.0,12.0,0.0,3926.0,0.0,22.0,home_improvement,0
95322691,3000.0,36.0,13.99,102.52,C,C3,115000.0,1.0,RENT,Verified,15.4,0.0,0.0,17.0,0.0,39826.0,73.5,30.0,moving,0
41690346,35000.0,60.0,10.99,760.82,B,B4,141000.0,6.0,MORTGAGE,Verified,24.39,0.0,1.0,17.0,0.0,45953.0,42.1,37.0,credit_card,0
123980173,12000.0,60.0,17.09,298.82,D,D1,41000.0,10.0,RENT,Verified,37.41,0.0,0.0,17.0,1.0,14599.0,48.2,31.0,debt_consolidation,0
39679554,12000.0,36.0,15.99,421.83,D,D2,45000.0,8.0,MORTGAGE,Not Verified,39.33,1.0,0.0,10.0,0.0,9052.0,74.8,17.0,debt_consolidation,1
701345,20550.0,36.0,8.18,645.68,B,B1,48000.0,4.0,MORTGAGE,Source Verified,27.04,0.0,0.0,7.0,0.0,18555.0,57.4,17.0,debt_consolidation,0
4805994,28000.0,36.0,7.62,872.52,A,A3,465580.0,10.0,MORTGAGE,Source Verified,1.77,0.0,1.0,10.0,0.0,146689.0,0.0,43.0,home_improvement,0
2299788,28000.0,60.0,15.31,670.69,C,C2,101000.0,10.0,MORTGAGE,Verified,17.99,1.0,3.0,16.0,0.0,38657.0,59.7,33.0,debt_consolidation,0
65796174,25000.0,60.0,12.59,563.6,C,C2,90000.0,8.0,MORTGAGE,Not Verified,7.24,5.0,0.0,16.0,0.0,19437.0,58.0,32.0,debt_consolidation,0
109131454,5000.0,36.0,10.91,163.49,B,B4,55000.0,9.0,RENT,Source Verified,23.17,1.0,1.0,8.0,0.0,3726.0,31.8,13.0,debt_consolidation,1
1302409,10000.0,36.0,12.12,332.72,B,B3,32000.0,6.0,MORTGAGE,Not Verified,21.6,0.0,3.0,14.0,0.0,6900.0,28.5,26.0,debt_consolidation,1
5763935,25000.0,60.0,22.7,700.46,E,E5,70000.0,3.0,RENT,Verified,20.21,0.0,0.0,6.0,0.0,17833.0,92.4,19.0,credit_card,0
60783830,8000.0,36.0,15.61,279.72,D,D1,35000.0,7.0,OWN,Verified,24.62,0.0,0.0,13.0,1.0,4244.0,31.0,36.0,home_improvement,0
121820568,33500.0,60.0,26.3,1008.97,E,E5,150000.0,3.0,RENT,Source Verified,19.78,0.0,2.0,13.0,1.0,35782.0,48.0,25.0,credit_card,0
127044856,24000.0,36.0,7.97,751.75,A,A5,169900.0,7.0,OWN,Not Verified,12.34,0.0,1.0,22.0,0.0,59836.0,50.2,39.0,credit_card,0
50253112,35000.0,36.0,12.69,1174.07,C,C2,155000.0,8.0,OWN,Verified,21.53,0.0,0.0,23.0,0.0,44480.0,70.0,55.0,home_improvement,1
